user_id,score,score_with_nulls,age,age_with_nulls,is_active,is_active_with_nulls,country,country_with_nulls
91,15.23,15.23,73,73,True,True,US,US
92,69.63,69.63,56,56,False,False,DE,DE
93,44.62,44.62,78,78,False,False,JP,JP
94,38.1,38.1,69,69,False,False,UK,UK
95,30.15,30.15,21,21,True,True,UK,UK
96,63.03,63.03,39,39,True,,JP,JP
97,36.18,36.18,42,42,True,True,DE,DE
98,8.76,8.76,89,89,True,,FR,FR
99,11.8,11.8,61,61,False,False,JP,JP
100,96.19,96.19,52,52,True,True,US,US
101,90.86,90.86,86,86,True,,DE,DE
102,69.97,69.97,61,61,True,,US,US
103,26.59,26.59,71,71,False,False,FR,FR
104,96.92,96.92,57,57,False,False,US,US
105,77.88,77.88,47,47,True,True,FR,
106,71.69,71.69,74,74,True,True,UK,UK
107,44.94,44.94,44,44,True,True,UK,UK
108,27.22,27.22,86,86,False,False,UK,UK
109,9.64,,42,42,True,True,DE,DE
110,90.26,90.26,79,79,True,True,US,US
111,45.58,45.58,23,23,True,True,DE,DE
112,20.24,20.24,55,55,False,False,UK,UK
113,30.6,30.6,53,53,False,False,DE,
114,57.92,57.92,86,86,True,,US,US
115,17.68,17.68,45,45,True,True,FR,FR
116,85.66,85.66,48,48,True,True,FR,FR
117,75.85,75.85,22,22,False,False,JP,JP
118,71.95,71.95,23,23,False,False,FR,FR
119,43.21,43.21,58,58,True,True,FR,FR
120,62.73,62.73,27,27,False,False,UK,UK
121,58.41,58.41,42,42,False,False,FR,FR
122,64.98,64.98,87,,False,False,UK,UK
123,8.44,8.44,39,39,True,True,US,US
124,41.58,41.58,86,86,True,True,UK,UK
125,4.16,4.16,48,48,False,False,FR,FR
126,49.4,49.4,84,84,False,False,US,US
127,32.99,32.99,43,43,True,True,FR,FR
128,14.45,14.45,72,72,False,False,UK,UK
129,10.34,10.34,28,28,False,False,DE,DE
130,58.76,58.76,67,67,False,,US,US
131,17.06,17.06,42,42,True,True,JP,JP
132,92.51,92.51,79,79,True,True,DE,DE
133,58.11,58.11,51,51,True,True,UK,UK
134,34.69,34.69,50,50,False,False,JP,JP
135,59.09,59.09,65,65,True,True,DE,DE
136,2.28,2.28,57,57,True,True,JP,JP
137,95.86,95.86,58,58,False,False,US,
138,48.23,48.23,83,83,False,False,JP,JP
139,78.27,,72,72,False,False,JP,JP
140,8.27,8.27,22,22,True,True,UK,UK
141,48.67,48.67,87,87,True,True,US,US
142,49.07,49.07,59,59,False,False,DE,DE
143,93.78,93.78,23,23,False,False,JP,JP
144,57.17,57.17,45,45,True,True,FR,FR
145,47.35,47.35,19,19,False,False,US,US
146,26.7,26.7,58,58,True,True,UK,UK
147,33.16,33.16,63,63,True,True,FR,FR
148,52.07,52.07,87,87,True,True,US,US
149,43.89,43.89,67,67,False,False,JP,JP
150,2.16,2.16,75,75,True,True,DE,DE
151,82.63,82.63,76,76,False,False,JP,JP
152,89.62,89.62,52,52,False,False,JP,
153,14.02,14.02,46,46,False,False,JP,JP
154,55.4,55.4,67,67,False,False,FR,FR
155,10.86,10.86,23,23,False,False,FR,FR
156,67.22,67.22,59,59,True,True,UK,UK
157,28.12,28.12,30,30,True,True,US,US
158,65.94,65.94,32,32,True,True,UK,
159,72.7,72.7,82,82,True,True,US,US
160,76.86,76.86,51,51,True,True,US,US
161,10.77,,58,58,False,False,DE,DE
162,91.6,91.6,26,26,False,False,FR,FR
163,23.02,23.02,37,37,False,False,UK,UK
164,3.74,3.74,51,51,True,True,US,US
165,55.49,55.49,84,84,False,False,JP,JP
166,37.09,37.09,50,50,True,True,DE,DE
167,82.98,82.98,63,63,False,False,US,US
168,80.83,80.83,68,68,False,False,JP,JP
169,31.71,31.71,32,32,True,True,DE,DE
170,95.29,95.29,37,37,True,True,FR,
171,29.09,29.09,56,56,False,False,FR,FR
172,51.51,51.51,46,46,True,True,DE,DE
173,25.6,25.6,77,77,True,True,UK,UK
174,93.6,93.6,48,48,False,False,US,US
175,16.46,16.46,50,50,False,False,JP,JP
176,4.49,4.49,30,30,False,False,US,US
177,43.51,43.51,69,69,True,,UK,UK
178,99.24,99.24,71,71,True,True,DE,DE
179,89.17,89.17,51,51,True,True,JP,JP
180,74.86,74.86,66,66,True,True,JP,JP
181,89.08,89.08,89,,True,,UK,UK
182,89.34,89.34,47,47,True,True,UK,UK
183,51.89,51.89,19,19,False,False,US,US
184,31.59,31.59,29,29,True,True,DE,DE
185,77.2,77.2,64,64,True,True,DE,DE
186,66.17,66.17,75,75,False,False,UK,UK
187,37.37,37.37,57,57,False,False,JP,JP
188,9.45,9.45,68,68,True,True,UK,UK
189,74.68,74.68,18,18,False,False,FR,FR
190,26.25,26.25,66,66,True,True,US,US
191,93.68,93.68,64,64,False,False,US,US
192,24.1,24.1,87,87,True,True,DE,DE
193,12.28,12.28,46,46,False,False,DE,DE
194,83.11,83.11,76,76,True,True,US,US
195,15.33,15.33,35,35,True,,FR,FR
196,17.93,17.93,83,83,False,False,DE,DE
197,59.94,59.94,58,58,False,False,UK,UK
198,87.46,87.46,73,73,True,True,UK,UK
199,19.64,19.64,56,56,True,True,DE,DE
200,31.03,31.03,72,72,True,True,US,US
201,77.74,77.74,77,77,False,False,JP,JP
202,97.18,97.18,73,73,True,True,DE,DE
203,50.07,50.07,89,,True,True,JP,JP
204,14.39,14.39,87,87,True,True,DE,DE
205,1.39,1.39,76,76,True,True,UK,UK
206,22.97,22.97,56,56,False,False,US,US
207,13.18,,24,24,True,True,UK,UK
208,67.77,67.77,47,47,True,True,DE,DE
209,12.18,,62,62,False,False,UK,UK
210,50.63,50.63,88,88,True,True,UK,UK
211,69.43,69.43,41,41,False,False,JP,JP
212,58.11,58.11,88,,False,False,DE,DE
213,19.98,19.98,60,60,False,False,US,US
214,80.41,80.41,81,81,False,False,JP,JP
215,71.54,71.54,69,69,True,True,UK,UK
216,73.9,73.9,59,59,True,True,US,US
217,13.11,13.11,77,77,False,False,DE,DE
218,12.38,12.38,63,63,False,False,DE,DE
219,92.76,92.76,77,77,False,,UK,UK
220,39.76,39.76,50,50,False,False,UK,UK
221,30.09,30.09,20,20,True,True,US,US
222,48.86,48.86,33,33,True,True,DE,DE
223,66.29,66.29,56,56,True,True,FR,FR
224,95.56,95.56,25,25,True,True,US,US
225,28.64,28.64,51,51,True,True,FR,FR
226,92.48,92.48,18,18,False,,FR,FR
227,2.49,2.49,55,55,True,True,UK,UK
228,55.52,55.52,33,33,True,True,US,US
229,63.4,63.4,72,72,True,True,UK,UK
230,10.59,10.59,57,57,False,False,UK,UK
231,14.03,14.03,84,84,False,False,JP,
232,41.91,41.91,83,83,False,False,FR,FR
233,96.62,96.62,46,46,True,True,FR,FR
234,59.6,59.6,48,48,False,,FR,FR
235,93.3,93.3,55,55,False,False,FR,FR
236,80.44,80.44,64,64,True,True,JP,JP
237,46.74,46.74,65,65,True,True,UK,UK
238,78.48,78.48,51,51,False,False,JP,JP
239,1.78,1.78,56,56,False,False,DE,DE
240,10.91,10.91,18,18,False,False,UK,UK
241,82.94,82.94,23,,True,True,UK,UK
242,79.68,79.68,49,49,True,True,JP,JP
243,23.26,23.26,86,86,False,False,FR,FR
244,53.08,53.08,45,45,False,False,JP,JP
245,60.6,60.6,90,,False,False,DE,DE
246,86.77,86.77,41,41,True,True,FR,FR
247,60.31,60.31,21,21,True,True,UK,UK
248,41.26,41.26,40,40,True,True,US,US
249,37.42,37.42,46,46,False,False,DE,DE
250,42.59,42.59,29,29,False,False,FR,
251,65.19,65.19,47,47,True,True,DE,DE
252,86.75,86.75,60,60,True,True,FR,FR
253,45.39,45.39,32,32,True,True,UK,UK
254,24.78,24.78,76,76,True,True,FR,FR
255,23.67,,30,30,False,,FR,FR
256,74.6,74.6,78,78,True,True,UK,UK
257,81.66,81.66,26,,True,True,DE,DE
258,10.53,10.53,37,37,True,True,DE,DE
259,6.66,6.66,44,44,True,True,UK,UK
260,59.44,59.44,38,38,True,True,FR,FR
261,14.62,14.62,65,65,True,,FR,
262,82.47,82.47,38,38,False,False,US,US
263,31.03,31.03,27,27,False,False,US,US
264,14.39,14.39,29,29,False,False,FR,FR
265,92.1,92.1,83,83,False,False,US,US
266,16.55,16.55,63,63,False,False,US,US
267,28.47,,86,86,False,False,JP,JP
268,15.36,15.36,28,28,True,True,DE,DE
269,11.55,11.55,67,67,False,False,DE,DE
270,2.11,2.11,47,47,True,True,DE,
271,5.54,5.54,81,81,True,True,US,US
272,17.46,17.46,57,57,True,True,FR,FR
273,5.34,5.34,29,29,True,True,UK,UK
274,59.11,59.11,67,67,True,True,JP,JP
275,68.07,68.07,60,60,False,False,FR,FR
276,39.36,39.36,88,88,False,False,DE,DE
277,31.8,31.8,76,76,False,False,DE,DE
278,50.45,50.45,77,77,True,True,DE,DE
279,87.5,87.5,45,45,True,True,DE,DE
280,85.11,85.11,46,46,False,False,UK,UK
281,4.35,4.35,62,62,False,False,JP,JP
282,18.15,18.15,78,78,True,True,FR,FR
283,23.67,23.67,35,35,True,True,UK,UK
284,24.94,24.94,38,38,True,True,FR,FR
285,57.12,57.12,89,89,False,False,FR,FR
286,41.63,41.63,67,67,True,True,JP,
287,4.93,4.93,53,53,True,True,FR,FR
288,37.36,37.36,33,33,False,False,US,US
289,52.38,52.38,40,40,False,,US,US
290,10.17,10.17,49,49,False,False,US,US
291,83.35,83.35,78,78,False,False,US,US
292,5.2,5.2,62,62,False,False,FR,FR
293,92.48,92.48,42,42,True,True,UK,UK
294,9.91,9.91,77,77,True,True,DE,DE
295,84.36,84.36,66,66,True,,DE,DE
296,90.27,90.27,85,85,False,False,FR,FR
297,97.96,97.96,54,54,True,True,DE,DE
298,80.2,80.2,89,89,True,True,FR,
299,77.95,77.95,70,70,True,True,FR,FR
300,64.25,64.25,79,79,False,False,FR,FR
301,77.9,77.9,53,53,False,False,FR,FR
302,13.46,13.46,32,32,False,False,US,US
303,53.61,53.61,54,54,False,,JP,JP
304,51.42,51.42,80,80,True,True,DE,DE
305,85.76,85.76,75,75,True,True,US,US
306,46.28,46.28,60,60,False,False,FR,FR
307,38.51,38.51,18,18,False,False,UK,UK
308,63.96,,45,45,True,True,UK,UK
309,26.65,26.65,27,27,False,False,DE,DE
310,13.98,13.98,40,40,False,False,UK,UK
311,47.79,47.79,88,88,False,False,US,US
312,41.69,41.69,70,,True,True,JP,JP
313,23.26,,24,24,False,False,FR,FR
314,36.75,36.75,49,49,False,False,UK,UK
315,36.64,36.64,60,60,True,True,JP,JP
316,32.75,32.75,81,81,True,True,JP,JP
317,37.95,37.95,43,43,False,False,DE,DE
318,68.57,68.57,87,87,False,False,US,US
319,29.69,29.69,84,84,False,False,DE,DE
320,94.89,94.89,83,83,True,True,JP,JP
321,91.63,91.63,42,42,True,,UK,UK
322,48.09,48.09,51,,False,False,JP,JP
323,32.84,32.84,47,47,True,True,DE,DE
324,53.54,53.54,82,82,True,True,DE,DE
325,84.86,84.86,23,23,True,True,DE,DE
326,65.26,65.26,61,61,False,False,UK,UK
327,80.44,80.44,19,19,False,False,DE,DE
328,53.27,53.27,31,31,True,True,DE,DE
329,63.29,,19,19,False,False,DE,DE
330,28.82,28.82,24,24,False,False,FR,FR
331,73.49,73.49,89,89,True,True,DE,DE
332,20.24,20.24,21,21,True,True,UK,UK
333,69.48,69.48,84,84,False,False,DE,DE
334,86.07,86.07,21,21,True,True,US,US
335,13.21,13.21,59,59,True,True,FR,FR
336,61.44,61.44,77,77,True,True,FR,FR
337,9.51,9.51,76,76,True,True,US,US
338,72.57,72.57,27,27,True,True,UK,UK
339,8.45,8.45,64,64,False,False,UK,UK
340,93.59,93.59,82,82,False,False,UK,UK
341,13.74,13.74,69,69,True,,DE,DE
342,95.89,95.89,39,39,True,True,UK,UK
343,80.09,80.09,54,54,False,False,FR,FR
344,59.37,59.37,90,90,False,False,FR,FR
345,78.26,78.26,23,23,True,True,UK,UK
346,79.51,79.51,49,49,True,True,DE,DE
347,94.6,,40,40,True,True,UK,UK
348,25.34,25.34,29,29,False,False,FR,FR
349,59.01,59.01,50,50,False,False,JP,JP
350,9.5,9.5,34,34,True,True,DE,DE
351,61.62,61.62,61,61,True,True,US,US
352,17.13,17.13,33,33,True,True,US,US
353,56.5,56.5,43,43,True,,DE,DE
354,57.24,57.24,29,29,False,False,FR,FR
355,46.6,46.6,52,52,True,True,FR,FR
356,52.26,52.26,76,76,False,False,FR,FR
357,76.39,76.39,67,67,False,False,US,US
358,79.92,,28,28,True,True,JP,JP
359,49.22,49.22,55,55,True,True,JP,JP
360,59.96,59.96,53,53,True,True,DE,DE
361,93.12,93.12,42,42,True,True,US,US
362,11.97,11.97,77,77,False,False,JP,JP
363,11.71,11.71,63,,False,False,JP,JP
364,8.77,8.77,62,62,False,False,US,US
365,65.79,65.79,43,43,False,False,FR,FR
366,41.86,41.86,72,72,True,,UK,UK
367,77.43,77.43,76,76,True,True,FR,FR
368,67.12,67.12,25,25,True,True,FR,FR
369,33.36,33.36,70,70,False,False,FR,FR
370,89.84,,78,78,True,True,US,US
371,76.25,76.25,48,48,False,False,UK,UK
372,27.05,27.05,61,61,False,False,UK,UK
373,36.42,36.42,85,85,True,True,UK,UK
374,31.44,31.44,18,,True,True,DE,DE
375,15.76,15.76,64,64,False,False,US,US
376,14.78,14.78,78,78,True,True,JP,JP
377,93.61,93.61,36,36,False,False,UK,UK
378,43.79,43.79,65,65,True,True,JP,JP
379,38.33,,58,58,True,True,UK,UK
380,72.97,72.97,19,19,True,True,UK,UK
381,55.3,55.3,21,21,False,False,JP,JP
382,93.61,93.61,75,75,False,False,UK,UK
383,78.03,,50,50,True,True,JP,JP
384,47.94,47.94,90,90,False,False,FR,FR
385,37.64,37.64,78,78,True,True,DE,DE
386,98.66,98.66,65,65,False,False,JP,JP
387,71.78,71.78,47,47,True,True,FR,FR
388,95.12,95.12,79,,True,True,DE,DE
389,11.85,11.85,33,33,True,True,DE,DE
390,85.05,85.05,80,80,True,True,FR,FR
391,63.71,63.71,50,50,False,False,US,US
392,12.19,12.19,90,90,False,False,US,US
393,58.83,58.83,64,64,True,True,FR,FR
394,68.61,68.61,36,36,False,False,US,US
395,1.23,1.23,58,58,False,False,FR,FR
396,45.43,45.43,52,52,True,True,US,US
397,82.54,82.54,43,43,True,True,FR,FR
398,29.54,29.54,47,,True,True,DE,DE
399,45.85,45.85,61,61,True,True,US,US
400,44.23,44.23,69,,False,False,UK,UK
401,30.19,30.19,31,31,False,False,US,
402,91.84,91.84,64,,True,True,DE,DE
403,78.13,78.13,40,40,False,,DE,DE
404,11.06,11.06,51,51,False,False,DE,DE
405,99.7,99.7,26,26,True,True,US,US
406,87.92,87.92,85,85,False,False,JP,JP
407,28.39,28.39,82,82,True,True,DE,DE
408,83.69,83.69,83,83,True,True,FR,FR
409,10.64,10.64,50,50,False,False,DE,DE
410,99.91,99.91,27,,False,False,DE,DE
411,66.57,66.57,41,41,False,False,DE,DE
412,65.01,65.01,51,51,True,True,UK,UK
413,9.04,9.04,26,26,False,False,FR,FR
414,89.7,89.7,18,18,True,True,DE,DE
415,2.9,2.9,78,78,False,False,US,US
416,24.08,24.08,60,60,False,False,UK,UK
417,14.3,14.3,40,40,False,False,UK,UK
418,77.68,77.68,81,81,False,False,UK,UK
419,19.82,19.82,45,45,False,False,DE,DE
420,91.06,91.06,63,63,False,False,JP,JP
421,65.63,65.63,90,90,True,True,JP,JP
422,3.62,3.62,41,41,False,False,DE,DE
423,0.54,0.54,57,57,True,True,UK,UK
424,5.17,5.17,85,85,True,True,UK,UK
425,60.59,60.59,22,22,False,False,DE,DE
426,80.15,80.15,80,80,False,False,US,US
427,23.86,23.86,38,38,False,False,FR,FR
428,84.94,84.94,82,82,False,False,US,US
429,5.72,5.72,63,63,True,True,US,US
430,80.1,80.1,71,71,True,True,FR,FR
431,92.78,92.78,31,,False,False,JP,JP
432,77.21,77.21,24,24,True,True,US,
433,69.81,69.81,56,56,True,True,JP,JP
434,83.8,83.8,60,60,True,True,FR,FR
435,4.02,4.02,34,34,False,False,DE,DE
436,20.18,20.18,58,58,False,False,UK,UK
437,12.49,12.49,42,42,True,True,UK,UK
438,50.45,50.45,85,85,False,,US,US
439,74.52,74.52,47,,False,False,FR,FR
440,63.0,63.0,76,76,False,False,DE,DE
441,85.11,85.11,29,29,False,False,JP,JP
442,15.52,15.52,35,35,True,,UK,UK
443,73.46,73.46,72,72,False,False,UK,UK
444,19.3,19.3,73,73,False,,JP,JP
445,27.08,27.08,66,66,False,False,DE,DE
446,70.99,70.99,45,45,True,True,JP,JP
447,98.02,98.02,90,90,True,True,FR,FR
448,61.15,61.15,45,45,True,True,US,US
449,5.45,5.45,26,26,True,True,JP,JP
450,61.63,61.63,84,84,False,False,JP,JP
451,4.24,4.24,57,57,False,False,US,US
452,88.41,,23,,True,True,JP,JP
453,70.96,70.96,23,23,False,False,DE,DE
454,17.31,17.31,30,30,True,True,UK,UK
455,9.17,9.17,71,71,False,False,DE,
456,18.35,18.35,48,48,True,,US,US
457,98.0,98.0,34,34,True,True,FR,FR
458,45.86,45.86,50,50,True,True,UK,UK
459,78.41,78.41,63,63,True,True,UK,UK
460,63.64,63.64,84,84,True,True,JP,JP
461,57.24,57.24,78,78,False,False,US,US
462,14.51,14.51,64,64,True,True,JP,JP
463,94.6,94.6,25,25,False,False,JP,JP
464,30.13,30.13,59,59,False,False,DE,
465,57.8,,79,79,False,False,JP,JP
466,69.98,69.98,70,70,True,True,DE,DE
467,64.92,64.92,46,46,True,True,US,US
468,94.06,94.06,22,22,True,True,UK,UK
469,14.84,14.84,89,89,False,False,US,US
470,50.84,50.84,56,56,False,False,FR,FR
471,40.4,40.4,32,32,True,True,DE,
472,47.42,47.42,68,68,True,True,JP,JP
473,11.92,11.92,65,65,True,True,DE,DE
474,13.41,13.41,80,80,False,False,UK,UK
475,27.81,,29,29,False,False,JP,JP
476,30.47,30.47,19,19,False,False,JP,JP
477,42.79,42.79,73,,True,True,FR,FR
478,61.1,61.1,37,37,True,True,DE,DE
479,63.46,63.46,59,59,True,True,JP,JP
480,41.18,41.18,33,33,True,True,FR,FR
481,40.88,40.88,41,41,False,False,US,US
482,21.76,21.76,80,80,True,True,JP,JP
483,58.83,58.83,20,20,False,False,UK,UK
484,31.7,31.7,46,46,True,True,UK,UK
485,3.61,3.61,43,43,True,,JP,JP
486,41.84,,87,87,True,True,JP,JP
487,47.41,47.41,79,79,True,True,JP,JP
488,22.56,22.56,73,73,True,True,DE,DE
489,57.25,57.25,46,46,True,True,US,US
490,56.58,56.58,80,80,True,True,DE,DE
491,70.2,70.2,34,34,False,False,DE,DE
492,64.79,64.79,79,79,True,True,JP,JP
493,65.24,65.24,62,62,False,False,US,US
494,31.62,31.62,29,29,False,False,JP,JP
495,78.74,78.74,30,30,False,False,DE,DE
496,54.91,54.91,21,21,False,False,FR,FR
497,43.14,43.14,88,88,True,True,JP,JP
498,62.6,62.6,60,60,False,False,JP,JP
499,36.07,36.07,25,25,False,False,FR,FR
500,51.27,51.27,23,23,False,False,DE,
501,73.67,73.67,28,,False,False,JP,JP
502,88.64,88.64,59,59,True,True,US,US
503,92.11,92.11,18,18,False,False,DE,DE
504,50.36,50.36,35,35,False,False,US,US
505,52.03,52.03,87,87,True,True,FR,
506,79.99,,87,,False,,US,US
507,31.45,31.45,78,78,False,,JP,JP
508,83.74,83.74,50,50,True,True,JP,JP
509,49.41,49.41,45,45,False,False,DE,DE
510,11.59,11.59,63,63,False,False,FR,FR
511,7.21,7.21,26,26,False,False,FR,FR
512,84.2,84.2,61,61,False,False,US,US
513,5.56,5.56,25,25,False,False,UK,UK
514,28.06,28.06,85,85,True,True,UK,UK
515,33.41,33.41,33,33,True,True,JP,JP
516,17.3,17.3,78,78,True,True,UK,UK
517,31.39,31.39,23,23,True,True,US,
518,74.27,74.27,75,75,True,,DE,DE
519,1.47,1.47,87,87,False,False,DE,DE
520,82.72,82.72,41,41,False,False,FR,FR
521,85.65,85.65,30,30,True,,US,US
522,37.23,37.23,43,43,False,False,FR,FR
523,15.36,15.36,56,56,False,False,JP,JP
524,60.08,60.08,45,45,True,True,US,US
525,11.97,11.97,28,28,False,False,UK,UK
526,36.49,36.49,45,45,False,False,US,US
527,95.84,95.84,75,75,True,True,DE,DE
528,99.55,99.55,82,82,False,False,UK,UK
529,77.21,77.21,85,85,True,,FR,FR
530,31.1,31.1,53,53,True,True,UK,UK
531,68.77,68.77,50,50,False,False,DE,DE
532,70.54,70.54,66,66,False,False,JP,JP
533,38.78,38.78,57,57,True,True,UK,UK
534,64.09,64.09,34,34,True,True,FR,FR
535,1.07,1.07,86,86,True,True,JP,JP
536,20.91,20.91,90,90,False,,JP,JP
537,52.51,52.51,59,59,False,False,UK,UK
538,16.38,16.38,88,88,False,False,US,US
539,16.59,16.59,38,38,False,False,DE,DE
540,83.63,83.63,62,62,False,False,JP,JP
541,98.91,98.91,77,77,True,True,FR,FR
542,55.6,,85,85,True,True,DE,DE
543,83.91,83.91,61,61,False,False,FR,FR
544,99.03,99.03,78,78,True,True,DE,
545,14.16,14.16,58,58,True,True,JP,JP
546,44.82,44.82,24,24,False,False,UK,UK
547,39.26,39.26,69,69,False,False,FR,FR
548,8.0,8.0,88,88,True,True,UK,UK
549,75.53,75.53,55,55,False,False,JP,JP
550,43.38,43.38,39,39,False,False,US,
551,46.93,46.93,20,20,False,False,DE,DE
552,15.07,15.07,32,32,False,False,US,US
553,18.09,18.09,49,49,True,True,US,US
554,90.71,90.71,90,90,True,True,US,US
555,4.46,4.46,47,,True,True,UK,UK
556,23.29,23.29,25,25,True,True,US,US
557,29.21,29.21,82,82,False,False,US,US
558,49.02,49.02,64,64,True,True,UK,UK
559,58.64,,72,72,False,False,JP,JP
560,49.33,49.33,86,86,False,,US,US
561,8.41,8.41,88,88,False,False,FR,FR
562,24.37,,90,90,True,True,FR,FR
563,84.36,,73,73,True,True,UK,UK
564,63.76,63.76,81,81,True,True,JP,
565,64.91,64.91,55,55,False,False,FR,FR
566,67.02,67.02,83,83,False,False,FR,FR
567,76.29,76.29,88,88,True,,UK,UK
568,5.81,5.81,52,52,True,True,FR,FR
569,36.66,36.66,38,38,True,True,DE,DE
570,53.95,53.95,87,87,True,True,DE,DE
571,33.85,33.85,76,76,True,True,DE,DE
572,84.45,84.45,32,32,True,True,FR,FR
573,48.26,48.26,32,32,True,True,JP,JP
574,76.86,76.86,36,36,True,True,UK,UK
575,85.2,85.2,75,75,False,,US,US
576,50.48,50.48,33,33,True,True,US,US
577,90.96,90.96,44,44,False,False,UK,UK
578,58.71,58.71,68,68,False,False,US,US
579,85.03,85.03,39,39,True,True,FR,FR
580,34.06,34.06,20,20,False,False,UK,UK
581,49.88,49.88,81,81,False,False,FR,FR
582,53.14,53.14,34,34,True,True,US,US
583,10.5,10.5,83,83,True,True,UK,UK
584,39.86,39.86,51,51,True,True,DE,DE
585,91.73,91.73,48,,True,True,UK,UK
586,63.08,63.08,44,44,True,True,FR,FR
587,17.75,17.75,20,20,True,True,DE,DE
588,33.89,33.89,18,,False,False,DE,DE
589,19.16,19.16,61,61,True,True,DE,DE
590,2.48,2.48,34,34,True,True,US,US
591,92.75,92.75,42,42,True,True,JP,JP
592,44.82,44.82,21,21,False,False,UK,UK
593,30.75,30.75,67,67,False,False,FR,FR
594,59.85,59.85,35,35,True,True,DE,DE
595,0.73,0.73,20,20,False,False,FR,FR
596,27.8,27.8,55,55,True,True,DE,DE
597,70.3,70.3,39,39,False,False,UK,UK
598,63.38,63.38,44,44,True,True,JP,JP
