user_id,score,score_with_nulls,age,age_with_nulls,is_active,is_active_with_nulls,country,country_with_nulls,created_date,created_date_with_nulls,created_at,created_at_with_nulls
16,68.45,86.09,28,4,False,True,AU,AU,2023-12-06,2023-12-06,2020-12-02T11:37:40,2020-12-02T11:37:40
17,4.68,24.82,51,19,False,True,BR,FR,2022-07-26,2022-07-26,2023-01-15T07:08:57,2023-01-15T07:08:57
18,45.29,60.61,12,72,False,False,US,BR,2020-08-21,,2024-04-30T17:17:15,2024-04-30T17:17:15
19,75.35,33.52,94,13,False,True,JP,DE,2024-03-13,2024-03-13,2020-06-07T22:51:36,2020-06-07T22:51:36
20,98.57,54.61,77,100,True,True,FR,,2022-04-02,2022-04-02,2020-05-26T00:37:39,2020-05-26T00:37:39
21,26.64,82.7,2,,False,True,FR,FR,2022-07-02,2022-07-02,2022-11-01T15:54:07,
22,31.24,47.27,13,,True,False,AU,FR,2021-11-08,2021-11-08,2023-11-27T11:20:08,2023-11-27T11:20:08
23,8.71,19.95,62,50,True,False,UK,JP,2020-11-29,2020-11-29,2020-07-05T15:42:04,2020-07-05T15:42:04
24,22.12,80.07,117,85,False,True,UK,JP,2024-08-19,2024-08-19,2024-09-19T23:16:47,2024-09-19T23:16:47
25,9.71,88.33,10,60,True,True,FR,FR,2023-11-28,2023-11-28,2022-05-20T17:29:36,2022-05-20T17:29:36
26,30.92,98.95,71,75,True,False,JP,FR,2023-03-21,2023-03-21,2020-07-13T04:06:25,2020-07-13T04:06:25
27,65.93,25.24,66,103,False,False,BR,FR,2022-01-04,2022-01-04,2022-03-27T17:04:25,2022-03-27T17:04:25
28,3.67,,39,88,False,False,AU,UK,2024-02-11,2024-02-11,2022-03-02T21:47:35,2022-03-02T21:47:35
29,69.93,,26,,True,True,AU,JP,2022-09-22,2022-09-22,2021-12-13T17:57:33,2021-12-13T17:57:33
30,6.62,92.94,95,15,False,False,UK,CA,2022-03-20,2022-03-20,2022-12-04T02:50:59,2022-12-04T02:50:59
31,65.39,65.99,102,19,False,True,AU,US,2022-04-02,2022-04-02,2021-03-26T10:59:43,2021-03-26T10:59:43
32,96.78,85.93,19,50,True,False,AU,FR,2021-02-18,2021-02-18,2024-12-15T04:15:04,2024-12-15T04:15:04
33,59.18,84.38,59,,False,True,US,,2020-06-17,2020-06-17,2021-06-05T21:09:44,2021-06-05T21:09:44
34,56.44,73.34,112,22,True,False,AU,UK,2022-10-09,2022-10-09,2024-04-29T04:32:34,2024-04-29T04:32:34
35,79.74,10.73,63,12,True,False,DE,,2024-06-09,2024-06-09,2024-02-03T19:35:47,2024-02-03T19:35:47
36,60.56,51.91,105,99,False,,FR,AU,2020-04-26,2020-04-26,2022-01-26T09:10:00,2022-01-26T09:10:00
37,39.98,,22,,True,True,UK,UK,2024-04-16,2024-04-16,2020-12-18T03:04:47,2020-12-18T03:04:47
38,3.18,91.98,71,116,False,True,BR,JP,2024-02-20,2024-02-20,2024-11-02T09:59:52,2024-11-02T09:59:52
39,98.28,34.35,66,2,False,False,US,UK,2021-05-20,,2022-11-12T03:06:23,2022-11-12T03:06:23
40,80.27,58.24,79,36,False,True,UK,US,2023-02-27,2023-02-27,2021-08-27T21:23:28,2021-08-27T21:23:28
41,46.46,47.75,37,,False,True,JP,DE,2020-10-28,2020-10-28,2020-10-02T15:42:02,2020-10-02T15:42:02
42,21.98,3.8,16,13,False,,US,DE,2023-10-16,2023-10-16,2021-09-12T19:46:22,2021-09-12T19:46:22
43,89.7,3.28,41,68,False,True,DE,AU,2023-07-03,,2023-04-05T23:57:40,2023-04-05T23:57:40
44,14.44,,42,,False,,US,AU,2021-10-09,2021-10-09,2022-07-13T10:16:49,2022-07-13T10:16:49
45,17.37,58.48,107,48,True,False,UK,UK,2020-05-04,2020-05-04,2020-05-01T15:41:53,2020-05-01T15:41:53
46,43.75,47.82,58,60,True,False,FR,US,2024-11-07,2024-11-07,2023-11-24T12:07:35,
47,52.55,61.49,29,115,True,True,JP,FR,2022-03-24,2022-03-24,2021-08-09T15:32:13,
48,69.42,6.93,67,91,True,False,BR,US,2024-06-18,,2020-12-16T21:34:29,2020-12-16T21:34:29
49,7.71,24.22,50,14,False,False,CA,AU,2023-05-22,2023-05-22,2023-07-01T17:22:52,2023-07-01T17:22:52
50,98.61,29.71,12,113,True,True,JP,,2023-11-22,2023-11-22,2023-09-17T17:51:17,2023-09-17T17:51:17
51,94.46,26.0,25,,True,True,UK,DE,2023-10-19,2023-10-19,2024-02-09T17:04:11,2024-02-09T17:04:11
52,53.65,48.49,114,23,False,False,FR,,2020-12-21,2020-12-21,2020-01-05T22:19:51,2020-01-05T22:19:51
53,66.03,87.27,20,5,False,False,CA,US,2021-10-26,2021-10-26,2021-12-08T06:05:15,2021-12-08T06:05:15
54,4.41,87.92,32,93,True,True,BR,AU,2022-05-02,2022-05-02,2021-04-24T06:54:42,2021-04-24T06:54:42
55,27.94,55.31,81,32,False,False,DE,JP,2022-06-27,2022-06-27,2022-11-26T05:54:11,2022-11-26T05:54:11
56,26.84,42.72,65,87,False,True,DE,AU,2020-03-20,2020-03-20,2020-08-06T18:41:44,2020-08-06T18:41:44
57,22.51,,0,,True,True,FR,US,2022-09-25,2022-09-25,2023-04-13T16:58:29,2023-04-13T16:58:29
58,97.43,79.27,54,117,False,True,FR,JP,2020-10-08,2020-10-08,2022-03-22T12:13:53,
59,38.93,,41,80,False,,FR,AU,2023-09-19,2023-09-19,2022-04-24T15:15:14,2022-04-24T15:15:14
60,40.39,61.53,34,39,True,True,DE,JP,2023-06-01,2023-06-01,2024-09-15T17:58:32,2024-09-15T17:58:32
61,63.11,91.12,111,6,False,False,AU,DE,2024-08-11,2024-08-11,2023-08-29T04:46:53,2023-08-29T04:46:53
62,30.4,,63,52,True,True,AU,FR,2023-09-21,2023-09-21,2020-06-21T20:02:41,2020-06-21T20:02:41
63,87.37,97.58,66,9,True,False,AU,AU,2021-10-31,2021-10-31,2022-03-05T18:40:15,2022-03-05T18:40:15
64,85.81,68.16,89,6,False,False,BR,BR,2024-11-01,2024-11-01,2023-09-17T19:06:21,2023-09-17T19:06:21
65,34.28,,26,48,True,False,CA,FR,2022-01-20,2022-01-20,2020-07-13T19:31:03,2020-07-13T19:31:03
66,20.26,87.46,91,35,True,False,US,JP,2021-08-17,2021-08-17,2022-07-12T17:04:27,2022-07-12T17:04:27
67,4.61,,86,51,True,True,JP,JP,2024-07-11,2024-07-11,2022-06-27T13:28:54,2022-06-27T13:28:54
68,13.88,31.1,93,91,True,True,US,CA,2021-11-07,2021-11-07,2020-05-14T00:35:35,2020-05-14T00:35:35
69,73.52,66.86,85,93,True,True,US,US,2020-05-19,2020-05-19,2024-10-10T13:32:04,2024-10-10T13:32:04
70,58.33,59.75,21,62,False,,US,JP,2022-05-07,2022-05-07,2021-11-06T16:08:40,2021-11-06T16:08:40
71,70.94,4.96,9,24,True,False,AU,BR,2023-12-23,2023-12-23,2021-05-12T18:30:03,2021-05-12T18:30:03
72,53.96,69.37,4,55,False,False,UK,CA,2020-12-11,2020-12-11,2020-06-11T13:55:42,2020-06-11T13:55:42
73,40.69,93.38,77,101,False,True,AU,,2022-04-25,,2020-04-06T13:11:22,
74,47.91,84.28,72,35,False,False,FR,CA,2020-08-25,2020-08-25,2020-12-24T05:33:04,2020-12-24T05:33:04
75,15.8,98.67,112,15,True,False,BR,CA,2023-06-07,2023-06-07,2023-09-15T16:45:56,2023-09-15T16:45:56
76,46.87,,33,96,True,,JP,DE,2022-05-18,2022-05-18,2021-05-04T07:02:34,2021-05-04T07:02:34
77,75.51,89.98,12,39,True,,CA,US,2021-08-25,2021-08-25,2022-04-09T17:50:08,2022-04-09T17:50:08
78,95.33,11.54,34,20,True,True,UK,DE,2021-02-18,2021-02-18,2023-04-22T23:57:11,2023-04-22T23:57:11
79,98.03,,91,4,False,,CA,,2022-10-27,2022-10-27,2021-09-03T04:06:25,2021-09-03T04:06:25
80,64.44,42.68,42,39,False,True,US,FR,2023-05-08,2023-05-08,2022-01-13T14:17:26,2022-01-13T14:17:26
81,59.48,59.06,109,65,False,False,UK,,2024-09-12,2024-09-12,2022-06-09T05:54:46,2022-06-09T05:54:46
82,62.58,64.41,25,99,False,False,UK,BR,2022-03-09,2022-03-09,2024-07-08T21:59:07,2024-07-08T21:59:07
83,57.11,82.88,108,84,False,True,US,UK,2020-10-20,2020-10-20,2024-08-25T04:17:57,2024-08-25T04:17:57
84,82.24,57.72,65,,True,True,UK,,2024-02-29,2024-02-29,2021-06-12T21:47:32,2021-06-12T21:47:32
85,58.22,0.74,77,70,True,,DE,JP,2023-02-23,2023-02-23,2021-04-01T22:55:25,2021-04-01T22:55:25
86,48.92,67.36,25,,False,True,AU,,2023-07-02,2023-07-02,2022-01-07T23:06:25,2022-01-07T23:06:25
87,67.92,12.76,59,108,False,False,FR,AU,2020-06-26,2020-06-26,2021-01-01T03:35:19,2021-01-01T03:35:19
88,26.12,91.64,37,55,False,True,UK,,2021-07-24,2021-07-24,2022-11-03T23:41:41,2022-11-03T23:41:41
89,49.2,80.04,102,94,True,True,DE,JP,2023-11-03,2023-11-03,2022-09-01T22:08:13,2022-09-01T22:08:13
90,51.27,67.29,7,114,True,True,CA,US,2024-02-28,2024-02-28,2022-04-30T05:34:34,2022-04-30T05:34:34
91,73.52,63.01,18,20,False,True,DE,BR,2022-03-05,2022-03-05,2022-04-26T00:01:28,2022-04-26T00:01:28
92,24.1,10.68,60,46,False,True,CA,AU,2024-01-09,2024-01-09,2024-04-17T14:37:16,2024-04-17T14:37:16
93,84.85,78.91,81,13,True,False,BR,AU,2024-03-16,2024-03-16,2020-09-30T12:43:50,2020-09-30T12:43:50
94,61.5,67.21,19,67,False,False,FR,FR,2021-12-08,2021-12-08,2023-10-31T15:21:00,2023-10-31T15:21:00
95,61.81,97.51,55,,True,True,AU,DE,2024-06-27,2024-06-27,2022-11-26T06:43:34,2022-11-26T06:43:34
96,74.43,28.79,91,58,True,True,BR,AU,2021-06-10,2021-06-10,2023-12-18T23:57:12,2023-12-18T23:57:12
97,79.58,44.68,116,12,False,,JP,BR,2021-03-13,2021-03-13,2022-11-15T00:27:58,2022-11-15T00:27:58
98,57.84,5.51,40,64,True,True,BR,JP,2023-05-31,2023-05-31,2023-11-08T22:59:08,2023-11-08T22:59:08
99,53.23,52.8,104,63,True,False,BR,FR,2023-03-08,,2023-01-10T12:24:02,2023-01-10T12:24:02
100,97.33,55.59,35,80,True,True,BR,JP,2020-09-12,2020-09-12,2023-07-24T01:21:24,2023-07-24T01:21:24
101,31.61,56.09,33,62,True,True,JP,AU,2024-02-29,2024-02-29,2022-01-25T03:39:19,2022-01-25T03:39:19
102,24.3,25.09,89,103,False,False,JP,DE,2020-12-31,2020-12-31,2024-06-20T09:33:38,2024-06-20T09:33:38
103,32.21,66.26,75,,True,False,FR,CA,2024-01-09,2024-01-09,2021-06-13T15:05:43,2021-06-13T15:05:43
104,79.78,82.24,17,,True,False,BR,UK,2020-01-14,2020-01-14,2023-08-02T16:25:32,2023-08-02T16:25:32
105,50.77,31.92,66,6,False,True,UK,FR,2023-12-26,2023-12-26,2021-08-22T12:39:59,
106,19.39,4.7,114,105,False,False,DE,US,2023-12-07,,2023-12-15T21:02:49,2023-12-15T21:02:49
107,94.94,56.62,24,114,True,,BR,CA,2023-11-25,2023-11-25,2024-03-03T12:52:01,2024-03-03T12:52:01
108,83.99,71.59,90,72,True,True,FR,CA,2023-04-29,2023-04-29,2020-12-03T10:14:47,
109,76.79,5.57,110,59,True,True,CA,JP,2022-05-11,2022-05-11,2023-02-15T10:14:29,2023-02-15T10:14:29
110,0.76,12.31,73,102,False,True,UK,,2023-07-11,2023-07-11,2022-08-22T04:39:30,2022-08-22T04:39:30
111,57.35,90.9,103,0,False,True,AU,AU,2021-05-21,,2021-12-27T18:59:14,2021-12-27T18:59:14
112,52.27,,38,31,False,True,CA,AU,2023-11-26,2023-11-26,2021-05-24T13:31:01,2021-05-24T13:31:01
113,71.89,58.82,30,49,True,True,US,UK,2022-10-11,2022-10-11,2023-01-24T19:48:37,2023-01-24T19:48:37
114,35.56,87.41,84,6,False,True,CA,US,2022-04-17,2022-04-17,2024-02-12T18:55:01,2024-02-12T18:55:01
115,48.83,51.6,84,30,False,True,JP,AU,2022-07-12,2022-07-12,2021-09-30T09:28:51,2021-09-30T09:28:51
116,76.37,58.58,40,56,False,False,JP,BR,2022-11-04,2022-11-04,2021-09-02T04:00:21,2021-09-02T04:00:21
117,71.56,37.19,16,63,True,True,DE,JP,2020-03-09,2020-03-09,2024-04-24T04:40:54,2024-04-24T04:40:54
118,50.74,78.19,65,24,True,False,DE,DE,2020-09-12,,2023-10-11T13:24:27,2023-10-11T13:24:27
119,46.38,61.45,75,29,False,False,BR,JP,2021-03-24,2021-03-24,2023-08-21T15:44:44,2023-08-21T15:44:44
120,9.77,83.78,62,77,True,False,FR,DE,2020-07-28,2020-07-28,2022-12-17T09:31:20,2022-12-17T09:31:20
121,88.66,,53,91,True,True,AU,,2022-03-13,2022-03-13,2020-07-03T07:58:26,2020-07-03T07:58:26
122,95.17,23.84,113,5,False,False,FR,CA,2023-05-05,2023-05-05,2020-10-01T18:04:07,2020-10-01T18:04:07
123,83.86,11.78,43,,False,True,DE,,2023-04-09,2023-04-09,2020-04-12T13:35:40,2020-04-12T13:35:40
124,13.96,66.78,16,107,False,True,DE,CA,2022-05-10,2022-05-10,2021-07-27T20:16:51,2021-07-27T20:16:51
125,62.43,,50,92,True,True,FR,AU,2024-04-10,2024-04-10,2020-03-02T00:29:04,2020-03-02T00:29:04
126,43.61,31.66,98,73,False,,JP,DE,2022-10-29,2022-10-29,2022-05-10T09:04:22,2022-05-10T09:04:22
127,17.14,84.6,47,0,False,False,JP,CA,2020-05-24,2020-05-24,2020-02-20T06:37:31,
128,7.17,66.04,95,64,False,False,UK,US,2023-10-28,2023-10-28,2024-12-22T18:58:49,2024-12-22T18:58:49
129,5.01,22.79,108,118,True,True,US,AU,2022-11-15,2022-11-15,2022-06-26T08:34:58,2022-06-26T08:34:58
130,11.96,63.74,85,31,True,True,BR,UK,2023-03-04,2023-03-04,2020-01-24T14:32:35,2020-01-24T14:32:35
131,31.97,13.89,18,59,False,True,FR,,2022-10-29,2022-10-29,2020-11-26T05:12:43,2020-11-26T05:12:43
132,89.15,17.64,116,8,False,,UK,DE,2022-10-07,,2020-12-08T21:30:47,2020-12-08T21:30:47
133,33.03,39.38,107,99,True,True,CA,FR,2020-06-14,2020-06-14,2023-05-16T16:43:39,2023-05-16T16:43:39
134,17.76,75.65,43,28,False,True,JP,JP,2022-10-18,2022-10-18,2023-11-06T21:29:17,2023-11-06T21:29:17
135,68.37,87.96,10,49,True,True,BR,JP,2023-12-22,2023-12-22,2022-05-31T12:34:32,2022-05-31T12:34:32
136,46.09,88.98,91,23,True,False,JP,CA,2021-07-09,,2023-08-20T04:01:56,2023-08-20T04:01:56
137,34.63,93.98,50,95,True,False,AU,BR,2023-01-05,2023-01-05,2020-06-19T16:31:52,2020-06-19T16:31:52
138,18.86,55.38,18,95,True,,AU,JP,2020-02-26,2020-02-26,2021-07-26T21:04:12,2021-07-26T21:04:12
139,32.55,43.1,113,116,True,False,US,,2021-09-26,2021-09-26,2020-01-11T15:34:28,2020-01-11T15:34:28
140,40.17,41.89,95,98,True,True,FR,FR,2022-03-08,2022-03-08,2022-01-13T21:52:19,2022-01-13T21:52:19
141,80.46,60.31,72,24,False,True,BR,UK,2024-11-29,2024-11-29,2020-03-08T01:25:30,2020-03-08T01:25:30
142,58.42,,100,89,True,True,UK,,2021-01-26,2021-01-26,2023-12-15T07:34:49,2023-12-15T07:34:49
143,94.98,9.23,3,,False,,US,CA,2021-05-19,,2022-08-31T20:56:59,2022-08-31T20:56:59
144,5.25,86.14,102,118,True,False,UK,BR,2022-01-15,2022-01-15,2023-10-07T09:34:16,2023-10-07T09:34:16
145,93.81,82.46,51,3,True,False,CA,US,2024-12-17,2024-12-17,2022-12-07T03:20:49,2022-12-07T03:20:49
146,17.86,79.75,86,34,True,True,US,AU,2024-04-07,2024-04-07,2020-03-09T05:52:28,2020-03-09T05:52:28
147,58.07,85.01,21,99,False,,US,US,2020-03-04,2020-03-04,2021-10-06T14:30:12,2021-10-06T14:30:12
148,24.91,,63,17,True,True,AU,US,2021-03-03,2021-03-03,2020-01-23T07:18:51,
149,36.52,14.2,57,64,True,True,DE,DE,2024-02-09,2024-02-09,2020-05-24T01:44:05,2020-05-24T01:44:05
150,26.44,35.27,76,41,False,False,BR,CA,2020-04-16,2020-04-16,2024-09-12T18:55:12,2024-09-12T18:55:12
151,46.29,77.16,74,9,False,False,BR,CA,2024-04-11,2024-04-11,2024-09-02T17:48:16,2024-09-02T17:48:16
152,72.12,41.39,96,4,True,,JP,US,2021-05-28,2021-05-28,2020-08-06T12:16:37,2020-08-06T12:16:37
153,50.81,90.39,97,71,False,,AU,DE,2024-08-02,2024-08-02,2022-01-10T19:59:41,2022-01-10T19:59:41
154,38.95,76.62,39,72,True,False,JP,UK,2021-06-20,2021-06-20,2021-06-11T13:28:59,2021-06-11T13:28:59
155,88.67,56.55,90,117,False,False,CA,FR,2022-03-04,2022-03-04,2022-02-22T22:01:12,2022-02-22T22:01:12
156,28.7,42.24,53,83,False,True,AU,AU,2023-04-23,2023-04-23,2023-01-18T15:20:34,2023-01-18T15:20:34
157,53.27,89.35,81,63,True,False,FR,AU,2020-08-18,2020-08-18,2021-11-27T13:00:00,2021-11-27T13:00:00
158,93.2,62.0,32,101,False,,US,FR,2022-10-14,,2024-01-23T00:08:39,2024-01-23T00:08:39
159,23.71,22.91,110,3,False,,CA,,2022-07-11,2022-07-11,2020-04-18T14:05:53,2020-04-18T14:05:53
160,5.92,25.64,63,94,True,True,BR,FR,2023-12-02,2023-12-02,2022-12-01T12:04:10,
161,78.36,2.89,106,,False,True,BR,JP,2024-12-23,2024-12-23,2023-07-21T06:39:01,2023-07-21T06:39:01
162,53.46,5.73,11,23,True,,FR,AU,2023-04-28,2023-04-28,2022-10-11T07:59:26,2022-10-11T07:59:26
163,97.09,8.4,13,37,True,True,UK,AU,2022-01-17,2022-01-17,2023-04-28T22:38:24,2023-04-28T22:38:24
164,12.76,87.32,101,114,False,False,UK,UK,2022-01-12,2022-01-12,2020-10-27T07:29:34,2020-10-27T07:29:34
165,89.91,68.09,65,,True,False,DE,FR,2022-02-02,,2023-12-12T08:36:15,2023-12-12T08:36:15
166,11.5,96.33,85,29,True,True,FR,US,2024-01-26,2024-01-26,2021-05-05T10:21:04,2021-05-05T10:21:04
167,79.88,46.98,70,115,False,False,US,UK,2021-08-09,2021-08-09,2020-11-21T03:56:08,2020-11-21T03:56:08
168,39.89,96.56,1,40,True,True,AU,UK,2020-10-31,2020-10-31,2022-09-25T16:12:52,2022-09-25T16:12:52
169,14.49,5.04,105,97,False,False,JP,BR,2021-09-02,2021-09-02,2023-03-05T23:38:17,2023-03-05T23:38:17
170,10.88,39.72,89,48,False,True,CA,JP,2020-02-11,2020-02-11,2021-11-18T23:24:13,2021-11-18T23:24:13
171,35.42,30.29,58,65,True,True,UK,JP,2020-07-12,2020-07-12,2020-04-20T12:19:21,2020-04-20T12:19:21
172,69.11,92.19,81,18,True,False,BR,,2020-06-13,2020-06-13,2024-12-27T05:14:56,2024-12-27T05:14:56
173,52.92,14.42,19,77,True,True,BR,,2023-11-09,2023-11-09,2024-01-24T13:58:22,2024-01-24T13:58:22
174,1.53,75.76,56,60,True,False,CA,US,2023-08-12,2023-08-12,2022-06-25T13:38:08,2022-06-25T13:38:08
175,1.55,34.61,70,33,False,True,FR,US,2023-06-26,2023-06-26,2021-09-30T00:18:48,2021-09-30T00:18:48
176,61.18,1.01,3,40,False,True,FR,JP,2022-04-23,2022-04-23,2024-05-29T22:49:10,
177,12.64,15.57,21,73,False,True,JP,BR,2023-08-02,2023-08-02,2021-10-09T18:59:30,
178,50.09,24.28,8,,True,True,US,US,2020-10-21,2020-10-21,2021-01-08T14:57:00,2021-01-08T14:57:00
179,42.7,84.8,96,83,True,False,BR,UK,2024-07-02,2024-07-02,2021-04-05T09:16:28,2021-04-05T09:16:28
180,19.66,83.29,1,72,False,False,US,BR,2022-07-03,2022-07-03,2023-09-25T20:47:09,2023-09-25T20:47:09
181,20.46,81.73,87,119,False,False,FR,DE,2024-09-08,,2021-08-10T14:21:43,2021-08-10T14:21:43
182,94.11,21.83,2,69,True,True,FR,DE,2020-10-05,2020-10-05,2020-12-18T12:01:09,2020-12-18T12:01:09
183,17.88,6.25,47,116,False,False,BR,JP,2022-06-27,2022-06-27,2024-09-02T09:36:01,2024-09-02T09:36:01
184,49.69,69.55,110,76,False,False,DE,FR,2023-06-25,2023-06-25,2020-06-25T20:42:23,2020-06-25T20:42:23
185,26.34,21.06,6,54,True,True,AU,FR,2022-06-24,2022-06-24,2022-10-03T10:56:06,2022-10-03T10:56:06
186,80.4,21.29,44,100,False,True,JP,UK,2022-03-25,,2020-11-20T10:02:16,2020-11-20T10:02:16
187,11.96,6.77,61,27,False,True,AU,US,2020-10-30,2020-10-30,2023-04-09T02:31:50,2023-04-09T02:31:50
188,64.4,65.54,43,5,True,True,US,AU,2021-11-26,2021-11-26,2021-11-15T23:55:14,2021-11-15T23:55:14
189,56.5,29.15,66,42,False,True,FR,DE,2021-03-11,2021-03-11,2020-05-18T19:32:05,
190,81.15,,38,28,False,True,FR,US,2021-07-04,2021-07-04,2020-11-01T15:07:45,2020-11-01T15:07:45
191,17.4,80.55,115,114,False,,UK,AU,2023-06-02,2023-06-02,2022-06-09T12:24:09,2022-06-09T12:24:09
192,68.24,94.72,106,46,False,True,FR,DE,2023-02-24,2023-02-24,2020-09-21T04:12:08,2020-09-21T04:12:08
193,33.52,46.74,11,33,False,False,DE,DE,2023-01-13,2023-01-13,2022-11-24T02:49:37,2022-11-24T02:49:37
194,68.36,62.64,77,44,False,False,US,AU,2021-10-22,2021-10-22,2024-01-02T00:49:43,2024-01-02T00:49:43
195,1.72,,40,76,True,False,DE,,2024-10-18,,2021-06-14T06:36:59,
196,67.2,27.91,100,24,True,True,DE,CA,2020-06-09,,2024-09-07T01:15:59,2024-09-07T01:15:59
197,75.17,17.28,60,77,True,,FR,US,2021-09-17,2021-09-17,2023-09-05T12:14:15,
198,77.72,43.32,44,45,False,True,CA,AU,2020-08-03,2020-08-03,2020-06-04T20:36:15,2020-06-04T20:36:15
199,75.69,4.11,105,54,False,True,FR,BR,2021-09-10,2021-09-10,2022-05-01T23:24:06,2022-05-01T23:24:06
200,66.37,,80,19,True,False,UK,,2024-10-22,,2022-10-08T10:09:31,2022-10-08T10:09:31
201,22.32,24.87,21,119,False,True,JP,CA,2021-10-30,,2022-10-21T22:52:01,2022-10-21T22:52:01
202,53.36,98.42,54,52,True,True,US,UK,2024-07-17,2024-07-17,2022-04-20T20:57:32,2022-04-20T20:57:32
203,76.2,99.31,106,65,False,False,AU,CA,2022-06-22,2022-06-22,2021-10-21T01:24:38,2021-10-21T01:24:38
204,88.97,54.43,98,46,False,False,US,US,2023-07-01,2023-07-01,2022-11-04T20:58:29,2022-11-04T20:58:29
205,87.03,36.61,112,22,False,False,JP,FR,2022-04-15,2022-04-15,2023-05-20T07:10:03,2023-05-20T07:10:03
206,96.1,93.8,74,15,False,False,DE,,2021-04-30,2021-04-30,2024-03-28T05:35:21,2024-03-28T05:35:21
207,32.45,53.93,119,76,False,True,AU,DE,2023-10-27,2023-10-27,2020-07-07T09:23:14,2020-07-07T09:23:14
208,9.18,1.46,55,40,True,True,US,BR,2024-11-04,2024-11-04,2020-09-10T02:21:39,2020-09-10T02:21:39
209,97.79,42.73,13,53,True,False,UK,AU,2021-04-26,2021-04-26,2022-07-13T08:54:41,2022-07-13T08:54:41
210,89.61,82.4,49,113,False,True,CA,US,2023-11-22,2023-11-22,2022-02-13T11:50:22,2022-02-13T11:50:22
211,10.27,11.11,85,56,True,True,BR,BR,2021-04-21,2021-04-21,2022-11-13T13:16:56,2022-11-13T13:16:56
212,71.14,10.16,26,99,True,False,UK,CA,2023-08-02,2023-08-02,2021-03-05T10:41:51,2021-03-05T10:41:51
213,93.19,86.41,27,20,False,False,FR,UK,2023-12-11,2023-12-11,2024-04-01T17:39:35,2024-04-01T17:39:35
214,44.97,38.17,79,,False,False,AU,AU,2022-03-31,2022-03-31,2024-05-04T18:51:59,2024-05-04T18:51:59
215,47.91,44.33,53,,False,True,US,AU,2023-09-07,2023-09-07,2020-03-15T14:16:07,2020-03-15T14:16:07
216,29.81,13.84,33,101,True,False,CA,JP,2021-05-12,2021-05-12,2024-06-04T02:30:06,2024-06-04T02:30:06
217,98.5,49.72,74,96,False,False,FR,DE,2020-05-24,2020-05-24,2021-10-26T01:34:37,2021-10-26T01:34:37
218,59.07,88.13,51,71,True,False,UK,CA,2020-06-25,2020-06-25,2021-02-24T18:26:33,2021-02-24T18:26:33
219,56.3,10.28,101,12,False,False,CA,DE,2022-03-27,2022-03-27,2020-07-29T13:50:54,2020-07-29T13:50:54
220,4.29,47.69,63,79,False,True,UK,UK,2024-07-06,2024-07-06,2020-05-27T09:40:29,2020-05-27T09:40:29
221,9.36,63.84,67,75,True,False,DE,AU,2020-08-20,2020-08-20,2020-04-19T03:56:42,2020-04-19T03:56:42
222,17.42,,102,60,False,False,BR,JP,2022-04-12,2022-04-12,2023-10-27T19:52:19,
223,18.53,38.78,22,103,True,True,CA,AU,2023-07-09,2023-07-09,2024-07-09T08:14:35,2024-07-09T08:14:35
224,7.05,64.84,51,91,True,False,FR,JP,2021-01-04,,2024-10-16T08:53:56,2024-10-16T08:53:56
225,43.96,,97,23,True,True,AU,UK,2023-08-10,2023-08-10,2022-07-20T17:56:49,
